time,accX,accY,accZ,rotX,rotY,rotZ,temp1,temp2,press
157429.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157439.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157449.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157459.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157469.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157479.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157489.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157499.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157509.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157519.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157529.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157539.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157549.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157559.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157569.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157579.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157589.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157599.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157609.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157619.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157629.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157639.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157649.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157659.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157669.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157679.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157689.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157699.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157709.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157719.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157729.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157739.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157749.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157759.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157769.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157779.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157789.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157799.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157809.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157819.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157829.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157839.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157849.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157859.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157869.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157879.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157889.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157899.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157909.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157919.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157929.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157939.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157949.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157959.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157969.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
157979.00,0.00,0.00,0.00,0.00,0.00,0.00,36.53,nan,nan
